STARTDATE_EPOCH|STOPDATE_EPOCH|DURATION_MS|STARTDATE|STOPDATE|DURATION|QUERY|SCALE_FACTOR|BENCHMARK_PHASE|STREAM|SUCCESSFUL|EXIT_CODE|HAS_RESULT|HDFS_SIZE
1492837224|1492837261|37000|2017/04/22:13:00:24|2017/04/22:13:01:01|0h 0m 37s|dataGen_base|1|run_query|0|SUCCESS|0||
1492837261|1492837296|35000|2017/04/22:13:01:01|2017/04/22:13:01:36|0h 0m 35s|dataGen_refresh|run_query|0|SUCCESS|0
1492837299|1492837464|165000|2017/04/22:13:01:39|2017/04/22:13:04:24|0h 2m 45s|Load data|1|Load data|0|SUCCESS|0||
1492837478|1492837535|57000|2017/04/22:13:04:38|2017/04/22:13:05:35|0h 0m 57s|q01|1|power_test|0|SUCCESS|0|HAS_RESULT|45
1492838376|1492838415|39000|2017/04/22:13:19:36|2017/04/22:13:20:15|0h 0m 39s|dataGen_base|1|run_query|0|SUCCESS|0||
1492838415|1492838452|37000|2017/04/22:13:20:15|2017/04/22:13:20:52|0h 0m 37s|dataGen_refresh|run_query|0|SUCCESS|0
1492838456|1492838580|124000|2017/04/22:13:20:56|2017/04/22:13:23:00|0h 2m 4s|Load data|1|Load data|0|FAILED|3||
1492839291|1492839331|40000|2017/04/22:13:34:51|2017/04/22:13:35:31|0h 0m 40s|dataGen_base|1|run_query|0|SUCCESS|0||
1492839331|1492839373|42000|2017/04/22:13:35:31|2017/04/22:13:36:13|0h 0m 42s|dataGen_refresh|run_query|0|SUCCESS|0
1492839377|1492839541|164000|2017/04/22:13:36:17|2017/04/22:13:39:01|0h 2m 44s|Load data|1|Load data|0|SUCCESS|0||
1492839554|1492839608|54000|2017/04/22:13:39:14|2017/04/22:13:40:08|0h 0m 54s|q01|1|power_test|0|SUCCESS|0|HAS_RESULT|45
1492839687|1492840332|645000|2017/04/22:13:41:27|2017/04/22:13:52:12|0h 10m 45s|dataGen_base|100|run_query|0|SUCCESS|0||
1492840333|1492840385|52000|2017/04/22:13:52:13|2017/04/22:13:53:05|0h 0m 52s|dataGen_refresh|run_query|0|SUCCESS|0
1492840388|1492841166|778000|2017/04/22:13:53:08|2017/04/22:14:06:05|0h 12m 58s|Load data|100|Load data|0|SUCCESS|0||
1492841180|1492841262|82000|2017/04/22:14:06:20|2017/04/22:14:07:42|0h 1m 22s|q01|100|power_test|0|SUCCESS|0|HAS_RESULT|1636
1492850676|1492851244|568000|2017/04/22:16:44:36|2017/04/22:16:54:04|0h 9m 28s|dataGen_base|100|run_query|0|SUCCESS|0||
1492851244|1492851297|53000|2017/04/22:16:54:04|2017/04/22:16:54:57|0h 0m 53s|dataGen_refresh|run_query|0|SUCCESS|0
1492851301|1492852072|771000|2017/04/22:16:55:01|2017/04/22:17:07:52|0h 12m 51s|Load data|100|Load data|0|SUCCESS|0||
1492852086|1492852166|80000|2017/04/22:17:08:06|2017/04/22:17:09:26|0h 1m 20s|q01|100|power_test|0|SUCCESS|0|HAS_RESULT|1636
1492852181|1492852479|298000|2017/04/22:17:09:41|2017/04/22:17:14:39|0h 4m 58s|q02|100|power_test|0|SUCCESS|0|HAS_RESULT|525
1492852498|1492852719|221000|2017/04/22:17:14:58|2017/04/22:17:18:39|0h 3m 41s|q03|100|power_test|0|SUCCESS|0|HAS_RESULT|1697
1492852734|1492852742|8000|2017/04/22:17:18:54|2017/04/22:17:19:02|0h 0m 8s|q04|100|power_test|0|FAILED|64|EMPTY|0
1492855856|1492855902|46000|2017/04/22:18:10:56|2017/04/22:18:11:42|0h 0m 46s|dataGen_base|1|run_query|0|SUCCESS|0||
1492855902|1492855937|35000|2017/04/22:18:11:42|2017/04/22:18:12:17|0h 0m 35s|dataGen_refresh|run_query|0|SUCCESS|0
1492855941|1492856112|171000|2017/04/22:18:12:21|2017/04/22:18:15:12|0h 2m 51s|Load data|1|Load data|0|SUCCESS|0||
1492856125|1492856177|52000|2017/04/22:18:15:25|2017/04/22:18:16:17|0h 0m 52s|q01|1|power_test|0|SUCCESS|0|HAS_RESULT|45
1492856192|1492856261|69000|2017/04/22:18:16:32|2017/04/22:18:17:41|0h 1m 9s|q02|1|power_test|0|SUCCESS|0|HAS_RESULT|464
1492856276|1492856349|73000|2017/04/22:18:17:56|2017/04/22:18:19:09|0h 1m 13s|q03|1|power_test|0|SUCCESS|0|HAS_RESULT|1427
1492856364|1492856440|76000|2017/04/22:18:19:24|2017/04/22:18:20:40|0h 1m 16s|q05|1|power_test|0|FAILED|1|EMPTY|
1492857886|1492857927|41000|2017/04/22:18:44:46|2017/04/22:18:45:27|0h 0m 41s|dataGen_base|1|run_query|0|SUCCESS|0||
1492857927|1492857965|38000|2017/04/22:18:45:27|2017/04/22:18:46:05|0h 0m 38s|dataGen_refresh|run_query|0|SUCCESS|0
1492857968|1492858133|165000|2017/04/22:18:46:08|2017/04/22:18:48:53|0h 2m 45s|Load data|1|Load data|0|SUCCESS|0||
1492858146|1492858198|52000|2017/04/22:18:49:06|2017/04/22:18:49:58|0h 0m 52s|q01|1|power_test|0|SUCCESS|0|HAS_RESULT|45
1492858213|1492858279|66000|2017/04/22:18:50:13|2017/04/22:18:51:19|0h 1m 6s|q02|1|power_test|0|SUCCESS|0|HAS_RESULT|464
1492858294|1492858355|61000|2017/04/22:18:51:34|2017/04/22:18:52:35|0h 1m 1s|q03|1|power_test|0|SUCCESS|0|HAS_RESULT|1427
1492858370|1492858429|59000|2017/04/22:18:52:50|2017/04/22:18:53:49|0h 0m 59s|q06|1|power_test|0|SUCCESS|0|HAS_RESULT|6973
1492858444|1492858504|60000|2017/04/22:18:54:04|2017/04/22:18:55:04|0h 1m 0s|q07|1|power_test|0|SUCCESS|0|HAS_RESULT|70
1492858519|1492858600|81000|2017/04/22:18:55:19|2017/04/22:18:56:40|0h 1m 21s|q08|1|power_test|0|SUCCESS|0|HAS_RESULT|20
1492858614|1492858661|47000|2017/04/22:18:56:54|2017/04/22:18:57:41|0h 0m 47s|q09|1|power_test|0|SUCCESS|0|HAS_RESULT|5
1492858676|1492858793|117000|2017/04/22:18:57:56|2017/04/22:18:59:53|0h 1m 57s|q10|1|power_test|0|SUCCESS|0|HAS_RESULT|50344544
1492858808|1492858860|52000|2017/04/22:19:00:08|2017/04/22:19:01:00|0h 0m 52s|q11|1|power_test|0|SUCCESS|0|HAS_RESULT|10
1492858875|1492858933|58000|2017/04/22:19:01:15|2017/04/22:19:02:13|0h 0m 58s|q12|1|power_test|0|SUCCESS|0|HAS_RESULT|2361
1492858948|1492859005|57000|2017/04/22:19:02:28|2017/04/22:19:03:25|0h 0m 57s|q13|1|power_test|0|SUCCESS|0|HAS_RESULT|3035
1492859020|1492859029|9000|2017/04/22:19:03:40|2017/04/22:19:03:49|0h 0m 9s|q14|1|power_test|0|FAILED|64|EMPTY|0
1492869453|1492869466|13000|2017/04/22:21:57:33|2017/04/22:21:57:46|0h 0m 13s|Load data|1|Load data|0|FAILED|64||
1492869653|1492869829|176000|2017/04/22:22:00:53|2017/04/22:22:03:49|0h 2m 56s|Load data|1|Load data|0|SUCCESS|0||
1492869843|1492869896|53000|2017/04/22:22:04:03|2017/04/22:22:04:56|0h 0m 53s|q01|1|power_test|0|SUCCESS|0|HAS_RESULT|45
1492869911|1492869974|63000|2017/04/22:22:05:11|2017/04/22:22:06:14|0h 1m 3s|q02|1|power_test|0|SUCCESS|0|HAS_RESULT|464
1492869988|1492870048|60000|2017/04/22:22:06:28|2017/04/22:22:07:28|0h 1m 0s|q03|1|power_test|0|SUCCESS|0|HAS_RESULT|1427
1492870063|1492870126|63000|2017/04/22:22:07:43|2017/04/22:22:08:46|0h 1m 3s|q06|1|power_test|0|SUCCESS|0|HAS_RESULT|6973
1492870141|1492870200|59000|2017/04/22:22:09:01|2017/04/22:22:10:00|0h 0m 59s|q07|1|power_test|0|SUCCESS|0|HAS_RESULT|70
1492870215|1492870293|78000|2017/04/22:22:10:15|2017/04/22:22:11:33|0h 1m 18s|q08|1|power_test|0|SUCCESS|0|HAS_RESULT|20
1492870308|1492870355|47000|2017/04/22:22:11:48|2017/04/22:22:12:35|0h 0m 47s|q09|1|power_test|0|SUCCESS|0|HAS_RESULT|5
1492870370|1492870523|153000|2017/04/22:22:12:50|2017/04/22:22:15:23|0h 2m 33s|q10|1|power_test|0|SUCCESS|0|HAS_RESULT|50344544
1492870538|1492870591|53000|2017/04/22:22:15:38|2017/04/22:22:16:31|0h 0m 53s|q11|1|power_test|0|SUCCESS|0|HAS_RESULT|10
1492870606|1492870664|58000|2017/04/22:22:16:46|2017/04/22:22:17:44|0h 0m 58s|q12|1|power_test|0|SUCCESS|0|HAS_RESULT|2361
1492870679|1492870738|59000|2017/04/22:22:17:59|2017/04/22:22:18:58|0h 0m 59s|q13|1|power_test|0|SUCCESS|0|HAS_RESULT|3035
1492870753|1492870808|55000|2017/04/22:22:19:13|2017/04/22:22:20:08|0h 0m 55s|q14|1|power_test|0|SUCCESS|0|HAS_RESULT|7
1492870823|1492870868|45000|2017/04/22:22:20:23|2017/04/22:22:21:08|0h 0m 45s|q15|1|power_test|0|SUCCESS|0|HAS_RESULT|28
1492870883|1492870935|52000|2017/04/22:22:21:23|2017/04/22:22:22:15|0h 0m 52s|q16|1|power_test|0|SUCCESS|0|HAS_RESULT|3124
1492870949|1492870959|10000|2017/04/22:22:22:29|2017/04/22:22:22:39|0h 0m 10s|q17|1|power_test|0|FAILED|64|EMPTY|0
1492904098|1492904268|170000|2017/04/23:07:34:58|2017/04/23:07:37:48|0h 2m 50s|Load data|1|Load data|0|SUCCESS|0||
1492904282|1492904336|54000|2017/04/23:07:38:02|2017/04/23:07:38:56|0h 0m 54s|q01|1|power_test|0|SUCCESS|0|HAS_RESULT|45
1492904351|1492904426|75000|2017/04/23:07:39:11|2017/04/23:07:40:26|0h 1m 15s|q02|1|power_test|0|SUCCESS|0|HAS_RESULT|464
1492904441|1492904505|64000|2017/04/23:07:40:41|2017/04/23:07:41:45|0h 1m 4s|q03|1|power_test|0|SUCCESS|0|HAS_RESULT|1427
1492904520|1492904583|63000|2017/04/23:07:42:00|2017/04/23:07:43:03|0h 1m 3s|q06|1|power_test|0|SUCCESS|0|HAS_RESULT|6973
1492904598|1492904659|61000|2017/04/23:07:43:18|2017/04/23:07:44:19|0h 1m 1s|q07|1|power_test|0|SUCCESS|0|HAS_RESULT|70
1492904674|1492904753|79000|2017/04/23:07:44:34|2017/04/23:07:45:53|0h 1m 19s|q08|1|power_test|0|SUCCESS|0|HAS_RESULT|20
1492904768|1492904814|46000|2017/04/23:07:46:08|2017/04/23:07:46:54|0h 0m 46s|q09|1|power_test|0|SUCCESS|0|HAS_RESULT|5
1492904829|1492904987|158000|2017/04/23:07:47:09|2017/04/23:07:49:47|0h 2m 38s|q10|1|power_test|0|SUCCESS|0|HAS_RESULT|50344544
1492905002|1492905053|51000|2017/04/23:07:50:02|2017/04/23:07:50:53|0h 0m 51s|q11|1|power_test|0|SUCCESS|0|HAS_RESULT|10
1492905068|1492905130|62000|2017/04/23:07:51:08|2017/04/23:07:52:10|0h 1m 2s|q12|1|power_test|0|SUCCESS|0|HAS_RESULT|2361
1492905144|1492905202|58000|2017/04/23:07:52:24|2017/04/23:07:53:22|0h 0m 58s|q13|1|power_test|0|SUCCESS|0|HAS_RESULT|3035
1492905217|1492905227|10000|2017/04/23:07:53:37|2017/04/23:07:53:47|0h 0m 10s|q14|1|power_test|0|FAILED|64|EMPTY|0
1492905709|1492905880|171000|2017/04/23:08:01:49|2017/04/23:08:04:40|0h 2m 51s|Load data|1|Load data|0|SUCCESS|0||
1492905893|1492905949|56000|2017/04/23:08:04:53|2017/04/23:08:05:49|0h 0m 56s|q01|1|power_test|0|SUCCESS|0|HAS_RESULT|45
1492905964|1492906036|72000|2017/04/23:08:06:04|2017/04/23:08:07:16|0h 1m 12s|q02|1|power_test|0|SUCCESS|0|HAS_RESULT|464
1492906050|1492906111|61000|2017/04/23:08:07:30|2017/04/23:08:08:31|0h 1m 1s|q03|1|power_test|0|SUCCESS|0|HAS_RESULT|1427
1492906126|1492906192|66000|2017/04/23:08:08:46|2017/04/23:08:09:52|0h 1m 6s|q06|1|power_test|0|SUCCESS|0|HAS_RESULT|6973
1492906207|1492906268|61000|2017/04/23:08:10:07|2017/04/23:08:11:08|0h 1m 1s|q07|1|power_test|0|SUCCESS|0|HAS_RESULT|70
1492906283|1492906363|80000|2017/04/23:08:11:23|2017/04/23:08:12:43|0h 1m 20s|q08|1|power_test|0|SUCCESS|0|HAS_RESULT|20
1492906378|1492906424|46000|2017/04/23:08:12:58|2017/04/23:08:13:44|0h 0m 46s|q09|1|power_test|0|SUCCESS|0|HAS_RESULT|5
1492906439|1492906596|157000|2017/04/23:08:13:59|2017/04/23:08:16:36|0h 2m 37s|q10|1|power_test|0|SUCCESS|0|HAS_RESULT|50344544
1492906611|1492906664|53000|2017/04/23:08:16:51|2017/04/23:08:17:44|0h 0m 53s|q11|1|power_test|0|SUCCESS|0|HAS_RESULT|10
1492906679|1492906738|59000|2017/04/23:08:17:59|2017/04/23:08:18:58|0h 0m 59s|q12|1|power_test|0|SUCCESS|0|HAS_RESULT|2361
1492906753|1492906817|64000|2017/04/23:08:19:13|2017/04/23:08:20:17|0h 1m 4s|q13|1|power_test|0|SUCCESS|0|HAS_RESULT|3035
1492906832|1492906884|52000|2017/04/23:08:20:32|2017/04/23:08:21:24|0h 0m 52s|q14|1|power_test|0|SUCCESS|0|HAS_RESULT|7
1492906899|1492906948|49000|2017/04/23:08:21:39|2017/04/23:08:22:28|0h 0m 49s|q15|1|power_test|0|SUCCESS|0|HAS_RESULT|28
1492906962|1492907015|53000|2017/04/23:08:22:42|2017/04/23:08:23:35|0h 0m 53s|q16|1|power_test|0|SUCCESS|0|HAS_RESULT|3124
1492907030|1492907086|56000|2017/04/23:08:23:50|2017/04/23:08:24:46|0h 0m 56s|q17|1|power_test|0|SUCCESS|0|HAS_RESULT|28
1492907101|1492907108|7000|2017/04/23:08:25:01|2017/04/23:08:25:08|0h 0m 7s|q18|1|power_test|0|FAILED|64|EMPTY|0
1492907961|1492908129|168000|2017/04/23:08:39:21|2017/04/23:08:42:09|0h 2m 48s|Load data|1|Load data|0|SUCCESS|0||
1492908143|1492908210|67000|2017/04/23:08:42:23|2017/04/23:08:43:30|0h 1m 7s|q19|1|power_test|0|SUCCESS|0|HAS_RESULT|108695
1492908225|1492908287|62000|2017/04/23:08:43:45|2017/04/23:08:44:47|0h 1m 2s|q21|1|power_test|0|SUCCESS|0|HAS_RESULT|2896
1492908302|1492908361|59000|2017/04/23:08:45:02|2017/04/23:08:46:01|0h 0m 59s|q22|1|power_test|0|SUCCESS|0|HAS_RESULT|4612
1492908376|1492908383|7000|2017/04/23:08:46:16|2017/04/23:08:46:23|0h 0m 7s|q23|1|power_test|0|FAILED|64|EMPTY|0
1492909071|1492909245|174000|2017/04/23:08:57:51|2017/04/23:09:00:45|0h 2m 54s|Load data|1|Load data|0|SUCCESS|0||
1492909259|1492909323|64000|2017/04/23:09:00:59|2017/04/23:09:02:03|0h 1m 4s|q24|1|power_test|0|SUCCESS|0|HAS_RESULT|17
1492909337|1492909391|54000|2017/04/23:09:02:17|2017/04/23:09:03:11|0h 0m 54s|q27|1|power_test|0|SUCCESS|0|HAS_RESULT|75324
1492909406|1492909447|41000|2017/04/23:09:03:26|2017/04/23:09:04:07|0h 0m 41s|q28|1|power_test|0|FAILED|1|EMPTY|
1492909601|1492909773|172000|2017/04/23:09:06:41|2017/04/23:09:09:33|0h 2m 52s|Load data|1|Load data|0|SUCCESS|0||
1492909794|1492909966|172000|2017/04/23:09:09:54|2017/04/23:09:12:46|0h 2m 52s|Load data|1|Load data|0|SUCCESS|0||
1492909979|1492910035|56000|2017/04/23:09:12:59|2017/04/23:09:13:55|0h 0m 56s|q29|1|power_test|0|SUCCESS|0|HAS_RESULT|341
1492910050|1492910114|64000|2017/04/23:09:14:10|2017/04/23:09:15:14|0h 1m 4s|q30|1|power_test|0|SUCCESS|0|HAS_RESULT|353
1492910220|1492910392|172000|2017/04/23:09:17:00|2017/04/23:09:19:52|0h 2m 52s|Load data|1|Load data|0|SUCCESS|0||
1492910406|1492910459|53000|2017/04/23:09:20:06|2017/04/23:09:20:59|0h 0m 53s|q01|1|power_test|0|SUCCESS|0|HAS_RESULT|45
1492910474|1492910540|66000|2017/04/23:09:21:14|2017/04/23:09:22:20|0h 1m 6s|q02|1|power_test|0|SUCCESS|0|HAS_RESULT|464
1492910555|1492910613|58000|2017/04/23:09:22:35|2017/04/23:09:23:33|0h 0m 58s|q03|1|power_test|0|SUCCESS|0|HAS_RESULT|1427
1492910628|1492910691|63000|2017/04/23:09:23:48|2017/04/23:09:24:51|0h 1m 3s|q06|1|power_test|0|SUCCESS|0|HAS_RESULT|6973
1492910706|1492910763|57000|2017/04/23:09:25:06|2017/04/23:09:26:03|0h 0m 57s|q07|1|power_test|0|SUCCESS|0|HAS_RESULT|70
1492910778|1492910853|75000|2017/04/23:09:26:18|2017/04/23:09:27:33|0h 1m 15s|q08|1|power_test|0|SUCCESS|0|HAS_RESULT|20
1492910868|1492910916|48000|2017/04/23:09:27:48|2017/04/23:09:28:36|0h 0m 48s|q09|1|power_test|0|SUCCESS|0|HAS_RESULT|5
1492910931|1492911051|120000|2017/04/23:09:28:51|2017/04/23:09:30:51|0h 2m 0s|q10|1|power_test|0|SUCCESS|0|HAS_RESULT|50344544
1492911066|1492911119|53000|2017/04/23:09:31:06|2017/04/23:09:31:59|0h 0m 53s|q11|1|power_test|0|SUCCESS|0|HAS_RESULT|10
1492911134|1492911191|57000|2017/04/23:09:32:14|2017/04/23:09:33:11|0h 0m 57s|q12|1|power_test|0|SUCCESS|0|HAS_RESULT|2361
1492911206|1492911263|57000|2017/04/23:09:33:26|2017/04/23:09:34:23|0h 0m 57s|q13|1|power_test|0|SUCCESS|0|HAS_RESULT|3035
1492911277|1492911329|52000|2017/04/23:09:34:37|2017/04/23:09:35:29|0h 0m 52s|q14|1|power_test|0|SUCCESS|0|HAS_RESULT|7
1492911344|1492911389|45000|2017/04/23:09:35:44|2017/04/23:09:36:29|0h 0m 45s|q15|1|power_test|0|SUCCESS|0|HAS_RESULT|28
1492911404|1492911454|50000|2017/04/23:09:36:44|2017/04/23:09:37:34|0h 0m 50s|q16|1|power_test|0|SUCCESS|0|HAS_RESULT|3124
1492911468|1492911521|53000|2017/04/23:09:37:48|2017/04/23:09:38:41|0h 0m 53s|q17|1|power_test|0|SUCCESS|0|HAS_RESULT|28
1492911536|1492911599|63000|2017/04/23:09:38:56|2017/04/23:09:39:59|0h 1m 3s|q19|1|power_test|0|SUCCESS|0|HAS_RESULT|108695
1492911614|1492911681|67000|2017/04/23:09:40:14|2017/04/23:09:41:21|0h 1m 7s|q20|1|power_test|0|FAILED|1|EMPTY|
1492911806|1492911970|164000|2017/04/23:09:43:26|2017/04/23:09:46:10|0h 2m 44s|Load data|1|Load data|0|SUCCESS|0||
1492911984|1492912036|52000|2017/04/23:09:46:24|2017/04/23:09:47:16|0h 0m 52s|q01|1|power_test|0|SUCCESS|0|HAS_RESULT|45
1492912051|1492912120|69000|2017/04/23:09:47:31|2017/04/23:09:48:40|0h 1m 9s|q02|1|power_test|0|SUCCESS|0|HAS_RESULT|464
1492912135|1492912197|62000|2017/04/23:09:48:55|2017/04/23:09:49:57|0h 1m 2s|q03|1|power_test|0|SUCCESS|0|HAS_RESULT|1427
1492912212|1492912276|64000|2017/04/23:09:50:12|2017/04/23:09:51:16|0h 1m 4s|q06|1|power_test|0|SUCCESS|0|HAS_RESULT|6973
1492912291|1492912350|59000|2017/04/23:09:51:31|2017/04/23:09:52:30|0h 0m 59s|q07|1|power_test|0|SUCCESS|0|HAS_RESULT|70
1492912365|1492912442|77000|2017/04/23:09:52:45|2017/04/23:09:54:02|0h 1m 17s|q08|1|power_test|0|SUCCESS|0|HAS_RESULT|20
1492912457|1492912510|53000|2017/04/23:09:54:17|2017/04/23:09:55:10|0h 0m 53s|q09|1|power_test|0|SUCCESS|0|HAS_RESULT|5
1492912525|1492912680|155000|2017/04/23:09:55:25|2017/04/23:09:58:00|0h 2m 35s|q10|1|power_test|0|SUCCESS|0|HAS_RESULT|50344544
1492912694|1492912745|51000|2017/04/23:09:58:14|2017/04/23:09:59:05|0h 0m 51s|q11|1|power_test|0|SUCCESS|0|HAS_RESULT|10
1492912760|1492912818|58000|2017/04/23:09:59:20|2017/04/23:10:00:18|0h 0m 58s|q12|1|power_test|0|SUCCESS|0|HAS_RESULT|2361
1492912833|1492912890|57000|2017/04/23:10:00:33|2017/04/23:10:01:30|0h 0m 57s|q13|1|power_test|0|SUCCESS|0|HAS_RESULT|3035
1492912905|1492912960|55000|2017/04/23:10:01:45|2017/04/23:10:02:40|0h 0m 55s|q14|1|power_test|0|SUCCESS|0|HAS_RESULT|7
